 table_schema |        table_name         |          column_name          |          data_type          | character_maximum_length | is_nullable |           column_default            
--------------+---------------------------+-------------------------------+-----------------------------+--------------------------+-------------+-------------------------------------
 public       | auction_notification_sent | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | auction_notification_sent | auction_id                    | uuid                        |                          | NO          | 
 public       | auction_notification_sent | notification_type             | text                        |                          | NO          | 
 public       | auction_notification_sent | sent_at                       | timestamp with time zone    |                          | YES         | now()
 public       | auction_notification_sent | email_message_id              | text                        |                          | YES         | 
 public       | auction_notification_sent | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | auction_price_history     | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | auction_price_history     | model                         | character varying           |                      100 | NO          | 
 public       | auction_price_history     | brand                         | character varying           |                       50 | YES         | 
 public       | auction_price_history     | serial                        | character varying           |                      100 | YES         | 
 public       | auction_price_history     | year                          | integer                     |                          | YES         | 
 public       | auction_price_history     | hours                         | integer                     |                          | YES         | 
 public       | auction_price_history     | precio_comprado               | numeric                     |                          | YES         | 
 public       | auction_price_history     | fecha_subasta                 | date                        |                          | YES         | 
 public       | auction_price_history     | proveedor                     | character varying           |                      100 | YES         | 
 public       | auction_price_history     | lot_number                    | character varying           |                       50 | YES         | 
 public       | auction_price_history     | notas                         | text                        |                          | YES         | 
 public       | auction_price_history     | imported_at                   | timestamp without time zone |                          | YES         | now()
 public       | auction_price_history     | imported_by                   | uuid                        |                          | YES         | 
 public       | auction_price_history     | created_at                    | timestamp without time zone |                          | YES         | now()
 public       | auction_price_history     | updated_at                    | timestamp without time zone |                          | YES         | now()
 public       | auctions                  | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | auctions                  | machine_id                    | uuid                        |                          | NO          | 
 public       | auctions                  | date                          | date                        |                          | NO          | 
 public       | auctions                  | lot                           | text                        |                          | NO          | 
 public       | auctions                  | price_max                     | numeric                     |                          | NO          | 
 public       | auctions                  | price_bought                  | numeric                     |                          | YES         | 
 public       | auctions                  | purchase_type                 | text                        |                          | NO          | 
 public       | auctions                  | supplier_id                   | character varying           |                      100 | NO          | 
 public       | auctions                  | status                        | text                        |                          | NO          | 'PENDING'::text
 public       | auctions                  | comments                      | text                        |                          | YES         | 
 public       | auctions                  | created_by                    | uuid                        |                          | NO          | 
 public       | auctions                  | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | auctions                  | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | auctions                  | photos_folder_id              | text                        |                          | YES         | 
 public       | change_logs               | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | change_logs               | table_name                    | character varying           |                      100 | NO          | 
 public       | change_logs               | record_id                     | uuid                        |                          | NO          | 
 public       | change_logs               | field_name                    | character varying           |                      100 | NO          | 
 public       | change_logs               | old_value                     | text                        |                          | YES         | 
 public       | change_logs               | new_value                     | text                        |                          | YES         | 
 public       | change_logs               | change_reason                 | text                        |                          | YES         | 
 public       | change_logs               | changed_by                    | uuid                        |                          | YES         | 
 public       | change_logs               | changed_at                    | timestamp with time zone    |                          | YES         | now()
 public       | change_logs               | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | change_logs               | field_label                   | character varying           |                      100 | YES         | 
 public       | change_logs               | module_name                   | character varying           |                       50 | YES         | 
 public       | cost_items                | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | cost_items                | purchase_id                   | uuid                        |                          | NO          | 
 public       | cost_items                | concept                       | text                        |                          | NO          | 
 public       | cost_items                | amount                        | numeric                     |                          | NO          | 
 public       | cost_items                | currency                      | text                        |                          | NO          | 'USD'::text
